State,Month,Year,Incident,Animal,Severity,Monetary_Impact
West Bengal,7,2019,Illegal trade,Tiger,Low,106
Maharashtra,4,2022,Trap/Accident,Wild Boar,Low,32
Tamil Nadu,11,2022,Conflict with humans,Leopard,High,370
Karnataka,8,2023,Wild animal entering populated area,Monkey,Medium,234
Assam,5,2022,Wild animal entering populated area,Elephant,Low,106
West Bengal,7,2019,Conflict with humans,Elephant,Medium,143
Madhya Pradesh,10,2022,Trap/Accident,Deer,Low,124
Maharashtra,3,2023,Conflict with humans,Monkey,Medium,28
Uttar Pradesh,7,2025,Conflict with humans,Snake,High,292
Maharashtra,11,2018,Poaching,Deer,Medium,206
Karnataka,11,2018,Conflict with humans,Monkey,Medium,166
Uttar Pradesh,8,2022,Wild animal entering populated area,Deer,Critical,445
Maharashtra,5,2019,Conflict with humans,Elephant,Medium,128
Karnataka,4,2024,Injury/Death,Snake,High,305
West Bengal,8,2024,Conflict with humans,Elephant,Medium,146
Rajasthan,8,2025,Wild animal entering populated area,Bear,Low,52
Karnataka,3,2021,Conflict with humans,Rhino,Medium,155
Rajasthan,6,2021,Wild animal entering populated area,Bear,Low,88
Kerala,5,2022,Wild animal entering populated area,Monkey,Low,136
Maharashtra,2,2023,Injury/Death,Wild Boar,High,546
Kerala,8,2018,Injury/Death,Snake,Medium,239
Assam,12,2020,Conflict with humans,Elephant,Medium,117
Tamil Nadu,6,2020,Wild animal entering populated area,Deer,High,36
Karnataka,2,2024,Conflict with humans,Elephant,Medium,146
Odisha,12,2021,Injury/Death,Crocodile,Low,70
Tamil Nadu,5,2022,Conflict with humans,Crocodile,Medium,43
Maharashtra,1,2021,Trap/Accident,Bear,Low,136
Maharashtra,12,2018,Conflict with humans,Crocodile,High,198
Madhya Pradesh,10,2023,Injury/Death,Deer,Low,66
West Bengal,6,2021,Wild animal entering populated area,Elephant,Medium,205
Kerala,12,2023,Smuggling,Monkey,High,279
Assam,9,2022,Wild animal entering populated area,Rhino,Low,62
Rajasthan,1,2018,Conflict with humans,Deer,Low,82
Odisha,11,2019,Wild animal entering populated area,Monkey,Medium,49
Tamil Nadu,11,2021,Wild animal entering populated area,Rhino,Medium,160
Rajasthan,10,2021,Conflict with humans,Leopard,Low,99
Madhya Pradesh,12,2023,Conflict with humans,Leopard,Medium,127
West Bengal,12,2025,Conflict with humans,Elephant,Low,107
Madhya Pradesh,3,2024,Trap/Accident,Deer,Low,47
Uttarakhand,12,2023,Conflict with humans,Leopard,Medium,210
Assam,7,2022,Poaching,Tiger,Medium,124
Maharashtra,4,2022,Conflict with humans,Snake,Critical,883
Karnataka,9,2024,Injury/Death,Snake,Low,87
Tamil Nadu,3,2022,Smuggling,Crocodile,Medium,154
Maharashtra,5,2021,Conflict with humans,Crocodile,Low,49
Karnataka,3,2024,Illegal trade,Rhino,Critical,350
Maharashtra,7,2021,Wild animal entering populated area,Rhino,Medium,145
Tamil Nadu,5,2023,Trap/Accident,Wild Boar,Medium,172
West Bengal,9,2024,Wild animal entering populated area,Rhino,Medium,212
Tamil Nadu,7,2020,Injury/Death,Snake,High,88
Tamil Nadu,2,2023,Trap/Accident,Crocodile,Medium,195
Karnataka,4,2021,Poaching,Bear,High,61
Karnataka,9,2022,Poaching,Tiger,Low,54
Odisha,12,2020,Injury/Death,Monkey,Low,81
West Bengal,2,2023,Wild animal entering populated area,Elephant,Low,38
West Bengal,10,2024,Wild animal entering populated area,Elephant,High,100
Karnataka,9,2024,Conflict with humans,Leopard,Low,120
Assam,10,2021,Conflict with humans,Elephant,Critical,1022
Karnataka,5,2025,Injury/Death,Snake,Critical,93
Tamil Nadu,2,2020,Conflict with humans,Snake,Medium,63
Odisha,4,2018,Conflict with humans,Tiger,Low,103
West Bengal,12,2025,Conflict with humans,Elephant,Medium,192
Rajasthan,12,2022,Conflict with humans,Deer,Low,50
